idx,bus_line,bus_line_passage,bus_stop,bus_time,metro_stop,metro_time_from_origin,origin_ref,date
1,54,54,Portela do Mondego,07:20:00,Portela,06:44:00,Portagem,2026-05-11
2,54,54,Portela do Mondego,08:00:00,Portela,07:14:00,Portagem,2026-05-11
3,54,54,Portela do Mondego,08:40:00,Portela,07:44:00,Portagem,2026-05-11
4,54,54,Portela do Mondego,09:20:00,Portela,07:54:00,Portagem,2026-05-11
5,54,54,Portela do Mondego,10:00:00,Portela,08:04:00,Portagem,2026-05-11
6,54,54,Portela do Mondego,10:40:00,Portela,08:14:00,Portagem,2026-05-11
7,54,54,Portela do Mondego,11:20:00,Portela,08:24:00,Portagem,2026-05-11
8,54,54,Portela do Mondego,12:00:00,Portela,08:34:00,Portagem,2026-05-11
9,54,54,Portela do Mondego,12:40:00,Portela,08:44:00,Portagem,2026-05-11
10,54,54,Portela do Mondego,13:20:00,Portela,08:54:00,Portagem,2026-05-11
11,54,54,Portela do Mondego,14:00:00,Portela,09:04:00,Portagem,2026-05-11
12,54,54,Portela do Mondego,14:40:00,Portela,09:14:00,Portagem,2026-05-11
13,54,54,Portela do Mondego,15:20:00,Portela,09:24:00,Portagem,2026-05-11
14,54,54,Portela do Mondego,16:00:00,Portela,09:34:00,Portagem,2026-05-11
15,54,54,Portela do Mondego,16:40:00,Portela,09:44:00,Portagem,2026-05-11
16,54,54,Portela do Mondego,17:20:00,Portela,10:14:00,Portagem,2026-05-11
17,54,54,Portela do Mondego,18:00:00,Portela,10:44:00,Portagem,2026-05-11
18,54,54,Portela do Mondego,18:40:00,Portela,11:14:00,Portagem,2026-05-11
19,54,54,Portela do Mondego,19:20:00,Portela,11:44:00,Portagem,2026-05-11
20,54,54,Portela do Mondego,20:00:00,Portela,12:14:00,Portagem,2026-05-11
21,54,54,Portela do Mondego,20:40:00,Portela,12:44:00,Portagem,2026-05-11
22,54,,Portela do Mondego,,Portela,13:14:00,Portagem,2026-05-11
23,54,,Portela do Mondego,,Portela,13:44:00,Portagem,2026-05-11
24,54,,Portela do Mondego,,Portela,14:14:00,Portagem,2026-05-11
25,54,,Portela do Mondego,,Portela,14:44:00,Portagem,2026-05-11
26,54,,Portela do Mondego,,Portela,15:14:00,Portagem,2026-05-11
27,54,,Portela do Mondego,,Portela,16:24:00,Portagem,2026-05-11
28,54,,Portela do Mondego,,Portela,16:34:00,Portagem,2026-05-11
29,54,,Portela do Mondego,,Portela,16:54:00,Portagem,2026-05-11
30,54,,Portela do Mondego,,Portela,17:04:00,Portagem,2026-05-11
31,54,,Portela do Mondego,,Portela,17:24:00,Portagem,2026-05-11
32,54,,Portela do Mondego,,Portela,17:34:00,Portagem,2026-05-11
33,54,,Portela do Mondego,,Portela,17:54:00,Portagem,2026-05-11
34,54,,Portela do Mondego,,Portela,18:04:00,Portagem,2026-05-11
35,54,,Portela do Mondego,,Portela,18:24:00,Portagem,2026-05-11
36,54,,Portela do Mondego,,Portela,18:34:00,Portagem,2026-05-11
37,54,,Portela do Mondego,,Portela,18:54:00,Portagem,2026-05-11
38,54,,Portela do Mondego,,Portela,19:04:00,Portagem,2026-05-11
39,54,,Portela do Mondego,,Portela,19:44:00,Portagem,2026-05-11
40,54,,Portela do Mondego,,Portela,20:44:00,Portagem,2026-05-11
41,54,,Portela do Mondego,,Portela,21:44:00,Portagem,2026-05-11
42,54,,Portela do Mondego,,Portela,22:44:00,Portagem,2026-05-11
43,54,,Portela do Mondego,,Portela,23:44:00,Portagem,2026-05-11
