line,avg_freq_min,overlap_extension_m,line_extension_m,overlap_pct,overlap_stops,overlap_stop_ids,total_stops,directions_considered,radius_extension_m,radius_extension_pct,radius_m,temporal_overlaps_count,temporal_overlaps_pct,temporal_overlap_stop_ids,temporal_spatial_candidates_count,__meta_smtuc_dataset,__meta_metro_dataset,__meta_walk_speed_m_min,__meta_stadium_lat,__meta_stadium_lon,__meta_radius_m,__meta_spatial_overlap_walk_min,__meta_temporal_overlap_max_min,__meta_sig_smtuc,__meta_sig_metro
32R,107.9,422.6,44357.0,0.95,2,474;495,47,4,0.0,0.0,2000.0,13,59.09,474;495,22,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
33,27.2,4280.7,26069.4,16.42,14,504;509;515;634;639;768;769;876;877;878;879;895;896;897,44,3,25764.1,98.83,2000.0,457,74.43,504;509;515;634;639;768;769;876;877;878;879;895;896;897,614,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
33R,650.0,2905.1,20327.0,14.29,15,494;504;509;634;639;768;769;876;877;878;879;895;896;897;900,50,2,20327.0,100.0,2000.0,26,81.25,494;504;509;634;639;768;769;876;877;878;879;895;897;900,32,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
34,17.0,641.4,12432.4,5.16,5,776;777;778;788;789,50,2,11037.6,88.78,2000.0,209,77.99,776;777;778;788;789,268,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
35,27.5,240.1,26654.7,0.9,2,474;494,55,4,1202.5,4.51,2000.0,0,0.0,,4,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
36,19.9,0.0,31939.6,0.0,0,,67,3,4750.4,14.87,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
36F,56.1,0.0,43340.5,0.0,0,,93,4,10613.6,24.49,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
36T,37.1,0.0,26824.3,0.0,1,504,65,3,2761.2,10.29,2000.0,0,0.0,,2,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
37,11.1,1983.8,21169.7,9.37,9,1583;768;769;777;789;877;879;895;897,46,4,20376.4,96.25,2000.0,485,74.96,1583;768;769;777;789;877;879;895;897,647,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
38,27.7,1048.3,15995.1,6.55,5,494;504;509;634;639,48,2,8424.4,52.67,2000.0,128,88.89,494;504;509;634;639,144,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
38F,26.1,1655.5,20229.2,8.18,7,474;494;504;509;515;634;639,55,3,8907.9,44.03,2000.0,70,29.17,474;494;504;509;515;634;639,240,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
38T,268.3,1005.5,6603.0,15.23,4,504;509;634;639,19,2,6059.6,91.77,2000.0,12,75.0,504;509;634;639,16,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
39,32.6,0.0,33806.2,0.0,1,504,73,3,0.0,0.0,2000.0,2,100.0,504,2,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
4,11.5,0.0,6995.2,0.0,0,,26,2,4635.6,66.27,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
41,34.8,1541.8,18101.6,8.52,8,504;509;630;632;634;776;778;781,50,3,4555.1,25.16,2000.0,113,85.61,504;509;630;632;634;776;778;781,132,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
42M,,0.0,4937.3,0.0,0,,17,1,1673.0,33.88,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
42T,20.0,1069.6,16066.3,6.66,5,1009;504;639;769;908,46,2,9062.1,56.4,2000.0,14,100.0,1009;504;639;769;908,14,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
42V,100.0,1069.6,25708.0,4.16,5,1009;504;639;769;908,72,2,14762.3,57.42,2000.0,39,81.25,1009;504;639;769;908,48,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
43,83.9,59.5,24856.0,0.24,2,496;505,68,2,0.0,0.0,2000.0,10,55.56,496;505,18,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
43T,56.8,1300.8,28798.4,4.52,5,496;505;509;634;639,69,2,5282.1,18.34,2000.0,44,58.67,496;505;509;634;639,75,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
43V,240.0,59.5,29839.5,0.2,2,496;505,67,2,1030.4,3.45,2000.0,10,100.0,496;505,10,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
44,57.7,8090.7,70716.4,11.44,24,1143;1170;1171;1180;1181;504;509;515;629;630;631;632;634;639;775;776;778;781;782;785;917;926;927;944,91,5,17075.7,24.15,2000.0,242,72.89,1143;1170;1171;1180;1181;504;509;515;629;630;631;632;634;639;775;776;778;781;782;785;917;926;927;944,332,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
45,61.4,4051.0,19747.6,20.51,19,1143;504;509;515;629;630;631;632;634;639;775;776;778;781;782;785;908;911;944,57,2,7568.2,38.32,2000.0,198,58.41,1143;504;509;515;629;630;631;632;634;639;775;776;778;781;782;785;908;911;944,339,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
47,39.8,119.1,104302.2,0.11,2,496;505,93,6,0.0,0.0,2000.0,38,53.52,496;505,71,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
47F,93.8,119.1,69049.3,0.17,2,496;505,143,3,0.0,0.0,2000.0,6,42.86,496;505,14,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
48,50.0,119.1,60644.8,0.2,2,496;505,95,4,0.0,0.0,2000.0,50,72.46,496;505,69,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
48T,193.3,59.5,15558.2,0.38,2,496;505,51,2,0.0,0.0,2000.0,11,91.67,496;505,12,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
49,28.8,59.5,19753.2,0.3,2,496;505,59,2,0.0,0.0,2000.0,43,75.44,496;505,57,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
49T,13.9,119.1,42714.7,0.28,2,496;505,68,4,0.0,0.0,2000.0,156,72.22,496;505,216,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
5,13.1,907.9,19839.0,4.58,6,1583;474;494;768;778;791,56,3,6102.4,30.76,2000.0,272,82.42,1583;494;768;778;791,330,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
50,21.2,0.0,62127.7,0.0,0,,85,5,727.3,1.17,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
50M,52.3,0.0,56641.6,0.0,1,506,88,4,727.3,1.28,2000.0,2,66.67,506,3,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
50S,86.0,0.0,67349.0,0.0,0,,102,4,495.5,0.74,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
