line,avg_freq_min,overlap_extension_m,line_extension_m,overlap_pct,overlap_stops,overlap_stop_ids,total_stops,directions_considered,radius_extension_m,radius_extension_pct,radius_m,temporal_overlaps_count,temporal_overlaps_pct,temporal_overlap_stop_ids,temporal_spatial_candidates_count,__meta_smtuc_dataset,__meta_metro_dataset,__meta_walk_speed_m_min,__meta_stadium_lat,__meta_stadium_lon,__meta_radius_m,__meta_spatial_overlap_walk_min,__meta_temporal_overlap_max_min,__meta_sig_smtuc,__meta_sig_metro
14,12.2,1777.7,13913.8,12.78,6,1;457;467;475;484;506,41,2,0.0,0.0,2000.0,480,89.05,1;457;467;475;484;506,539,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
14T,10.7,2034.7,14951.9,13.61,6,472;474;486;487;488;494,38,3,0.0,0.0,2000.0,829,87.82,472;474;486;487;488;494,944,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
16,50.4,4990.4,64133.3,7.78,13,1583;466;472;474;488;494;588;589;602;618;768;778;791,111,6,27998.5,43.66,2000.0,108,91.53,1583;466;472;474;488;494;588;589;602;618;768;778;791,118,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
16F,25.0,1274.1,19174.2,6.64,8,602;618;768;778;791;876;883;884,75,2,8024.0,41.85,2000.0,12,75.0,768;778;791;876;883;884,16,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
16G,22.6,4922.0,75345.8,6.53,17,1583;466;472;474;475;479;488;494;504;588;589;590;602;618;768;778;791,127,6,28221.6,37.46,2000.0,242,89.96,1583;466;472;474;475;479;488;494;504;588;589;590;602;618;768;778;791,269,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
17,40.8,988.6,21596.6,4.58,7,472;474;486;487;488;495;505,57,3,0.0,0.0,2000.0,120,90.91,472;474;486;487;488;495;505,132,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
18,30.2,119.1,42510.8,0.28,2,496;505,60,4,0.0,0.0,2000.0,87,90.62,496;505,96,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
18E,196.7,781.4,25762.8,3.03,9,1143;496;505;917;918;923;926;927;944,70,2,0.0,0.0,2000.0,40,100.0,1143;496;505;917;918;923;926;927;944,40,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
18F,46.0,59.5,15703.1,0.38,2,496;505,42,2,0.0,0.0,2000.0,26,96.3,496;505,27,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
19,92.9,3777.4,31480.2,12.0,12,321;457;459;466;479;484;485;487;589;590;603;618,53,4,5684.0,18.06,2000.0,62,79.49,321;457;459;466;479;484;485;487;589;590;603;618,78,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
19A,25.0,1624.9,28368.4,5.73,8,317;321;479;485;487;590;603;618,84,2,4502.2,15.87,2000.0,10,50.0,317;321;479;485;487;590;603;618,20,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
19R,61.5,2924.6,32037.9,9.13,10,321;457;459;479;485;487;588;590;603;618,66,4,5088.8,15.88,2000.0,72,92.31,321;457;459;479;485;487;588;590;603;618,78,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
19T,11.4,9545.6,129284.3,7.38,13,321;457;459;466;479;484;485;487;588;589;590;603;618,86,12,18148.6,14.04,2000.0,680,83.33,321;457;459;466;479;484;485;487;588;589;590;603;618,816,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
20,29.3,3555.4,37102.9,9.58,6,1;457;467;475;484;506,56,4,0.0,0.0,2000.0,171,89.53,1;457;467;475;484;506,191,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
20T,83.0,1777.7,24331.5,7.31,6,1;457;467;475;484;506,66,3,0.0,0.0,2000.0,29,87.88,1;457;467;475;484;506,33,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
21,37.1,2965.8,105844.8,2.8,6,472;474;486;487;488;495,76,7,0.0,0.0,2000.0,137,86.71,472;474;486;487;488;495,158,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
21A,26.9,4151.9,89410.1,4.64,10,467;472;474;475;484;486;487;488;495;504,88,7,0.0,0.0,2000.0,151,92.07,467;472;474;475;484;486;487;488;495;504,164,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
21R,41.5,1977.2,100930.5,1.96,6,472;474;486;487;488;495,73,7,0.0,0.0,2000.0,149,80.98,472;474;486;487;488;495,184,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
21T,66.2,4922.7,136951.0,3.59,7,472;474;486;487;488;495;506,88,9,0.0,0.0,2000.0,88,91.67,472;474;486;487;488;495;506,96,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
22,26.0,2746.0,21154.2,12.98,11,1;457;467;472;474;475;484;486;487;488;506,55,3,0.0,0.0,2000.0,385,84.99,1;457;467;472;474;475;484;486;487;488;506,453,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
22F,19.1,1777.7,14340.7,12.4,6,1;457;467;475;484;506,44,2,0.0,0.0,2000.0,148,91.93,1;457;467;475;484;506,161,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
23,31.0,1562.7,32039.5,4.88,9,1143;496;505;917;918;923;926;927;944,46,4,0.0,0.0,2000.0,174,78.38,1143;496;505;917;918;923;926;927;944,222,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
23C,26.0,1203.1,20385.1,5.9,7,496;505;917;918;923;926;927,39,3,0.0,0.0,2000.0,43,79.63,496;505;917;918;923;926;927,54,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
23F,44.7,59.5,15635.9,0.38,2,496;505,41,2,0.0,0.0,2000.0,27,93.1,496;505,29,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
24,9.9,2585.4,7513.8,34.41,10,475;478;479;504;590;602;618;639;777;789,25,2,6519.7,86.77,2000.0,551,80.2,475;478;479;504;590;602;618;639;777;789,687,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
24T,10.3,5869.9,23827.0,24.64,14,1583;465;472;474;488;509;515;588;589;634;768;778;788;791,45,4,18338.4,76.96,2000.0,1376,69.35,1583;465;472;474;488;509;515;588;589;634;768;778;788;791,1984,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
25,21.3,9144.2,63338.8,14.44,19,1;319;321;457;466;467;472;474;475;479;484;485;487;488;494;504;589;590;603,82,6,2031.5,3.21,2000.0,396,88.2,1;319;321;457;466;467;472;474;475;479;484;485;487;488;494;504;589;590;603,449,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
25T,60.4,6069.0,28657.5,21.18,17,1;319;321;457;461;466;472;474;479;484;485;487;488;494;589;590;603,65,4,1745.8,6.09,2000.0,166,90.22,1;319;321;457;461;466;472;474;479;484;485;487;488;494;589;590;603,184,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
26,23.8,6483.4,30060.6,21.57,24,1583;504;509;587;588;590;603;618;629;630;631;632;634;639;768;775;776;778;781;782;791;876;883;884,55,6,30060.6,100.0,2000.0,336,77.6,1583;504;509;588;590;603;618;629;630;632;634;768;775;776;778;781;782;791;876;883;884,433,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
27,9.9,12772.2,52824.9,24.18,21,319;321;457;461;466;467;472;474;475;479;484;485;487;488;504;587;588;589;590;592;593,68,8,10768.2,20.38,2000.0,1131,90.92,319;321;457;461;466;467;472;474;475;479;484;485;487;488;504;587;588;589;590;592;593,1244,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
27F,108.3,7223.2,27376.2,26.38,16,319;321;457;461;466;472;474;479;484;485;487;488;587;589;590;602,49,5,5043.8,18.42,2000.0,107,70.86,319;321;457;461;466;472;474;479;484;485;487;488;587;589;590;602,151,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
28,16.6,11902.6,39663.4,30.01,20,1;317;321;458;466;467;472;474;475;479;484;485;487;488;504;588;589;590;604;605,56,7,6533.4,16.47,2000.0,649,86.53,1;317;321;458;466;467;472;474;475;479;484;485;487;488;504;588;589;590;604;605,750,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
28F,38.9,4620.3,11867.2,38.93,16,1;317;321;458;466;467;475;479;484;485;487;506;587;589;590;602,32,3,1510.7,12.73,2000.0,136,97.14,1;317;321;458;466;467;475;479;484;485;487;506;587;589;590;602,140,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
29,7.1,7438.2,27106.5,27.44,13,321;457;459;472;473;475;479;485;487;488;590;602;618,32,6,11676.6,43.08,2000.0,1338,90.16,321;457;459;472;473;475;479;485;487;488;590;602;618,1484,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
2T,11.6,13388.5,138966.0,9.63,15,1;1586;317;319;321;457;466;475;479;484;485;487;504;590;591,106,10,2078.2,1.5,2000.0,704,88.0,1;1586;317;319;321;457;466;475;479;484;485;487;504;590;591,800,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
30,80.5,6486.4,45461.8,14.27,17,1;319;321;457;466;472;474;479;484;485;487;488;494;587;589;590;603,110,4,1506.4,3.31,2000.0,130,84.42,1;319;321;457;466;472;474;479;484;485;487;488;494;587;589;590;603,154,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
30A,217.5,3196.6,26538.9,12.04,12,1;319;321;457;466;479;484;485;487;587;589;590,86,2,1499.8,5.65,2000.0,20,100.0,1;319;321;457;466;479;484;485;487;587;589;590,20,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
30F,69.1,4448.0,34805.8,12.78,12,1;319;321;457;466;479;484;485;487;587;589;590,76,3,1731.6,4.98,2000.0,71,94.67,1;319;321;457;466;479;484;485;487;587;589;590,75,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
30T,82.1,3203.2,24059.3,13.31,13,1;319;321;457;466;479;484;485;487;587;589;590;603,77,2,1506.4,6.26,2000.0,85,88.54,1;319;321;457;466;479;484;485;487;587;589;590;603,96,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
31,29.3,3025.1,27040.3,11.19,9,467;472;474;475;477;486;488;494;505,47,5,0.0,0.0,2000.0,236,85.82,467;472;474;475;477;486;488;494;505,275,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
32,30.8,1977.2,56502.2,3.5,7,472;474;486;487;488;495;504,64,5,0.0,0.0,2000.0,157,88.2,472;474;486;487;488;495;504,178,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
32A,190.0,1977.2,22821.9,8.66,6,472;474;486;487;488;495,69,3,0.0,0.0,2000.0,21,80.77,472;474;486;487;488;495,26,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
32R,107.9,1977.2,44357.0,4.46,6,472;474;486;487;488;495,47,4,0.0,0.0,2000.0,51,87.93,472;474;486;487;488;495,58,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
33,27.2,5515.9,26069.4,21.16,18,504;509;515;588;589;602;618;634;639;768;769;876;877;878;879;895;896;897,44,3,25764.1,98.83,2000.0,652,79.51,504;509;515;588;589;602;618;634;639;768;769;876;877;878;879;895;896;897,820,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
