line,avg_freq_min,overlap_extension_m,line_extension_m,overlap_pct,overlap_stops,overlap_stop_ids,total_stops,directions_considered,radius_extension_m,radius_extension_pct,radius_m,temporal_overlaps_count,temporal_overlaps_pct,temporal_overlap_stop_ids,temporal_spatial_candidates_count,__meta_smtuc_dataset,__meta_metro_dataset,__meta_walk_speed_m_min,__meta_stadium_lat,__meta_stadium_lon,__meta_radius_m,__meta_spatial_overlap_walk_min,__meta_temporal_overlap_max_min,__meta_sig_smtuc,__meta_sig_metro
42M,,0.0,4937.3,0.0,0,,17,1,1673.0,33.88,2000.0,0,0.0,,0,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
42T,20.0,1069.6,16066.3,6.66,5,1009;504;639;769;908,46,2,9062.1,56.4,2000.0,14,100.0,1009;504;639;769;908,14,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
42V,100.0,2338.0,25708.0,9.09,10,1009;475;479;504;590;602;618;639;769;908,72,2,14762.3,57.42,2000.0,65,83.33,1009;475;479;504;590;602;618;639;769;908,78,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
43,83.9,59.5,24856.0,0.24,2,496;505,68,2,0.0,0.0,2000.0,15,83.33,496;505,18,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
43T,56.8,1300.8,28798.4,4.52,5,496;505;509;634;639,69,2,5282.1,18.34,2000.0,54,72.0,496;505;509;634;639,75,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
43V,240.0,59.5,29839.5,0.2,2,496;505,67,2,1030.4,3.45,2000.0,10,100.0,496;505,10,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
44,57.7,8090.7,70716.4,11.44,24,1143;1170;1171;1180;1181;504;509;515;629;630;631;632;634;639;775;776;778;781;782;785;917;926;927;944,91,5,17075.7,24.15,2000.0,250,75.3,1143;1170;1171;1180;1181;504;509;515;629;630;631;632;634;639;775;776;778;781;782;785;917;926;927;944,332,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
45,61.4,4051.0,19747.6,20.51,19,1143;504;509;515;629;630;631;632;634;639;775;776;778;781;782;785;908;911;944,57,2,7568.2,38.32,2000.0,214,63.13,1143;504;509;515;629;630;631;632;634;639;775;776;778;781;782;785;908;911;944,339,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
47,39.8,119.1,104302.2,0.11,2,496;505,93,6,0.0,0.0,2000.0,62,87.32,496;505,71,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
47F,93.8,119.1,69049.3,0.17,2,496;505,143,3,0.0,0.0,2000.0,14,100.0,496;505,14,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
